customer_id,gender,age,city,total_sales,order_count,quantity_sold
117,F,65,성남,4100000,5,48
102,M,60,고양,3996000,4,35
83,F,22,수원,3880000,4,39
30,F,32,서울,3590000,5,32
40,M,23,서울,3523000,4,27
20,F,20,인천,3191000,2,25
3,F,61,성남,3178000,2,26
111,F,41,광주,3153000,3,38
66,F,39,서울,3093000,4,30
147,M,19,부산,2990000,2,21
18,M,58,고양,2960000,3,28
105,M,26,광주,2837000,3,23
38,M,55,울산,2834000,2,25
60,F,34,성남,2812000,2,20
24,F,41,대전,2419000,4,27
56,F,21,인천,2411000,3,21
32,F,31,고양,2389000,2,26
106,M,38,부산,2343000,2,18
128,F,41,고양,2330000,2,15
107,F,47,고양,2325000,2,21
135,F,28,대구,2170000,2,15
37,M,65,고양,2122000,2,18
65,F,33,인천,2107000,3,17
16,M,52,부산,2058000,2,12
87,M,31,울산,2022000,2,22
5,F,19,부산,2004000,2,13
126,M,53,서울,1961000,3,27
114,F,60,성남,1956000,3,18
130,F,37,대전,1942000,2,27
23,M,58,대전,1931000,1,16
33,M,31,수원,1913000,2,22
43,M,42,고양,1863000,1,13
90,M,36,울산,1831000,3,21
78,F,21,울산,1829000,3,17
63,M,60,대전,1675000,2,15
144,M,22,광주,1626000,1,12
77,M,64,서울,1625000,2,15
50,F,58,광주,1620000,2,12
108,F,22,성남,1591000,3,15
47,F,36,울산,1587000,3,16
13,F,23,울산,1549000,1,17
8,M,32,수원,1532000,2,19
104,M,33,광주,1496000,2,15
125,M,28,수원,1470000,2,17
93,F,65,대전,1460000,2,17
121,M,34,서울,1445000,2,13
123,M,20,서울,1436000,1,14
137,M,68,울산,1395000,2,12
6,F,32,성남,1349000,2,14
39,M,32,대구,1298000,1,19
149,M,20,부산,1295000,1,10
141,M,40,광주,1241000,1,8
41,F,27,대구,1229000,1,15
84,F,21,성남,1197000,1,13
7,F,53,인천,1173000,1,9
115,M,60,부산,1173000,1,10
129,F,45,대구,1142000,1,15
9,M,69,서울,1132000,2,10
133,M,67,성남,1098000,1,13
119,F,63,대전,1064000,1,8
58,F,66,성남,1059000,1,9
145,M,59,성남,1032000,3,12
140,M,32,인천,1029000,2,15
124,M,67,대구,1000000,2,14
146,M,61,성남,1000000,1,5
76,M,45,울산,996000,1,9
116,F,34,부산,937000,2,17
70,M,22,성남,924000,1,6
103,M,34,인천,923000,1,13
14,F,40,대전,905000,1,11
98,F,61,인천,898000,2,10
28,M,35,성남,881000,1,5
27,F,28,수원,862000,2,6
99,M,25,고양,860000,1,10
55,M,69,광주,837000,1,8
110,F,40,부산,804000,1,10
95,M,50,성남,760000,1,5
26,F,56,대구,735000,1,5
122,F,58,울산,734000,2,9
68,F,22,서울,643000,2,12
4,F,55,울산,603000,1,6
113,M,57,성남,579000,1,3
86,F,44,수원,569000,1,7
21,M,23,인천,526000,1,5
22,F,42,광주,512000,1,9
36,F,65,성남,471000,1,6
91,M,27,인천,456000,2,4
12,F,66,대전,396000,1,5
71,F,35,수원,394000,1,2
138,F,35,대구,350000,1,7
118,F,35,광주,344000,1,4
31,M,43,광주,306000,1,3
62,F,63,광주,292000,1,3
148,M,29,고양,271000,1,2
92,M,31,서울,267000,1,3
49,M,50,대구,262000,1,6
15,M,69,서울,252000,1,2
69,F,22,서울,130000,2,8
80,F,30,인천,118000,1,2
112,F,46,성남,112000,2,8
