순위,판매상품ID,상품명,판매가,저자,출판사,발행일,분야
63,S000221333791,사랑이라 부르기엔 소박하지만 1(특별판),15300,Daisuke Hagiwara,대원씨아이,2026-09-30,만화
64,S000221328870,"하루 한 장, 수북한 일력 2027",24000,남씨,한스미디어,2026-10-29,시/에세이
65,S000213913377,행복할 거야 이래도 되나 싶을 정도로(10만 부 기념 교보문고 단독 리커버),16200,일홍,부크럼,2024-07-29,시/에세이
66,S000000479333,프로젝트 헤일메리,19800,앤디 위어,알에이치코리아,2026-02-19,소설
67,S000221248241,박완서의 낱말들,17820,박완서,웅진지식하우스,2026-09-14,시/에세이
68,S000000620225,오만과 편견,11700,제인 오스틴,민음사,2009-01-20,소설
69,S000219550327,내면 근력,19800,짐 머피,윌북,2026-04-26,자기계발
70,S000220929345,처음 읽는 삼국지 5: 세 번의 발걸음,15120,이문열,미래엔아이세움,2026-08-27,어린이(초등)
71,S000218936196,2026 해커스경찰 갓대환 형사법 기본서 2: 형사소송법 수사와 증거,26100,김대환,해커스경찰,2026-01-09,취업/수험서
72,S000211656046,더 시스템(THE SYSTEM),16200,스콧 애덤스,베리북,2024-01-29,자기계발
73,S000000620286,무진기행,9900,김승옥,민음사,2007-08-03,소설
74,S000216796615,안녕이라 그랬어,15120,김애란,문학동네,2025-06-20,소설
75,S000221046068,신경 끄기의 기술(한교동 에디션),17100,마크 맨슨,갤리온,2026-09-03,시/에세이
76,S000221075532,일상에서 바로 써먹는 사회심리학,16920,나이토 요시히토,더페이지,2026-09-20,자기계발
77,S000218936181,2026 해커스경찰 갓대환 형사법 기본서 1: 형법,42300,김대환,해커스경찰,2026-01-09,취업/수험서
78,S000220929341,처음 읽는 그리스 로마 신화 15: 트로이의 마지막 불꽃,15120,최설희,미래엔아이세움,2026-08-27,어린이(초등)
79,S000221048495,평범함을 받아들일 때 삶은 더욱 특별해진다,16920,청비쉬엔,이든서재,2026-09-20,자기계발
80,S000221162157,2027 해커스공무원 신민숙 쉬운국어 논리 강화 200제(9급 공무원),17100,신민숙,해커스공무원,2026-09-07,취업/수험서
81,S000218914182,2026 해커스 GSAT 삼성직무적성검사 통합 기본서 최신기출유형+실전모의고사 (수리/추리),21600,해커스 취업교육연구소,해커스잡,2026-01-02,취업/수험서
82,S000000619590,노르웨이의 숲,15300,무라카미 하루키,민음사,2017-08-07,소설
83,S000215877577,위버멘쉬,16020,프리드리히 니체,떠오름(RISE),2025-03-14,인문
84,S000001893506,2026 제이크쌤의 28시간에 끝내는 토익스피킹 All in One,16110,황인기 외,시원스쿨닷컴,2026-06-09,외국어
85,S000000620240,인간 실격,8100,다자이 오사무,민음사,2012-04-10,소설
86,S000221152611,내 인생이 왜 당신 마음에 들어야 합니까,16200,김경일,퍼스트펭귄,2026-09-09,인문
87,S000217115740,다크 심리학(20만 부 한정판 스페셜 에디션),19710,다크 사이드 프로젝트,어센딩,2026-05-22,인문
88,S000221333788,사랑이라 부르기엔 소박하지만 1,6300,Daisuke Hagiwara,대원씨아이,2026-09-30,만화
89,S000221280419,2027 해커스경찰 신동욱 경찰헌법 기본서,54000,신동욱,해커스공무원,2026-09-16,취업/수험서
90,S000221108309,2027 해커스공무원 영어 구조 독해 007,16200,해커스 공무원시험연구소,해커스공무원,2026-09-04,취업/수험서
91,S000209182287,"돈, 뜨겁게 사랑하고 차갑게 다루어라",13500,앙드레 코스톨라니,미래의창,2023-09-21,경제/경영
92,S000000620351,면도날,13500,서머싯 몸,민음사,2009-06-30,소설
93,S000000620142,동물농장,7200,조지 오웰,민음사,2009-01-07,소설
94,S000220497730,일 마키아벨리,16020,니콜로 마키아벨리,떠오름,2026-07-07,인문
95,S000216522821,한 권으로 끝내는 해커스 토익 800+(LC+RC+VOCA),15930,해커스 어학연구소,해커스어학연구소,2025-05-26,외국어
96,S000200472901,마케팅 설계자,22320,러셀 브런슨,윌북,2022-12-30,경제/경영
97,S000214920224,The Scent of Page : 차량용 방향제(개선판),35700,교보문고,교보문고,2024-12-06,책향
98,S000220452240,독하게 돈 공부,20700,박소연,메이븐,2026-07-10,경제/경영
99,S000220622303,독성 인간,18900,리앤 텐 브링크,웅진지식하우스,2026-07-24,인문
100,S000220996224,이효석의 21세기 투자법,22500,이효석,상상스퀘어,2026-09-09,경제/경영
101,S000220662769,클로드 코드 제대로 시작하기,28800,주홍철 외,길벗,2026-08-05,컴퓨터/IT
102,S000220338953,"안녕, 피터팬",19800,전경철,이야기장수,2026-06-26,시/에세이
103,S000216796440,"큰별쌤 최태성의 별별한국사 시대별 기출문제집 한국사능력검정시험 심화(1,2,3급)",17730,최태성,이투스북,2025-06-11,인문
104,S000000581291,그리스인 조르바,13320,니코스 카잔차키스,열린책들,2009-12-20,소설
105,S000200550189,급류,12600,정대건,민음사,2022-12-22,소설
106,S000215160393,The Scent of Page : 룸스프레이 80ML,25500,교보문고,교보문고,2025-01-24,책향
107,S000001897788,데일 카네기 인간관계론(50만부 돌파 초판 무삭제 완역본),10350,데일 카네기,현대지성,2019-10-07,자기계발
108,S000220862072,애매함을 사랑하기,15120,이창현(코유),고유,2026-08-17,시/에세이
109,S000221074626,읽으면서 바로 써먹는 어린이 보물섬 1: 사회·지리편,11700,한날,파란정원,2026-09-01,어린이(초등)
110,S000218882053,2026 단기 합격 해커스공기업 NCS 통합 기본서(모듈형+피듈형+PSAT형+모의고사 6회분),24300,윤종혁 외,해커스잡,2026-01-02,취업/수험서
111,S000000620207,체호프 단편선,8100,안톤 체호프,민음사,2002-11-20,소설
112,S000221104864,용기를 찾아서,18900,란자이 굴라티,서삼독,2026-09-08,자기계발
113,S000221326893,마법천자문 72 : 모든 게 무너져 내리다! 붕괴崩壞,14310,알에스미디어,아울북,2026-09-16,어린이(초등)
114,S000000780847,긴긴밤,11250,루리,문학동네,2021-02-03,어린이(초등)
115,S000218324072,한번 시작하면 잠들 수 없는 세계사(미드나잇 블루 에디션),16920,김도형(별별역사),빅피시,2026-09-02,역사/문화
116,S000221326966,극락가 6,5850,Yuto Sano,대원씨아이,2026-09-30,만화
117,S000220939335,백야,13050,표도르 도스토옙스키,문학동네,2026-09-10,소설
118,S000220735352,오디세이,15120,제럴딘 매코크런,윌마,2026-08-20,어린이(초등)
119,S000221354018,주술회전 모듈로 2: 두라 바르 보비디 메치카,6300,Gege Akutami,서울미디어코믹스(서울문화사),2026-09-17,만화
120,S000220350342,사랑의 기술,16920,에리히 프롬,문예출판사,2026-07-10,인문
121,S000218907630,빅터 프랭클의 죽음의 수용소에서(20주년 기념보급판),10800,빅터 프랭클,청아출판사,2026-01-02,시/에세이
122,S000061863290,존재의 세 가지 거짓말,19800,아고타 크리스토프,까치,2022-09-15,소설
123,S000000620214,1984,9900,조지 오웰,민음사,2007-03-30,소설
124,S000218736039,2026 이지패스 ADsP 데이터분석 준전문가,27000,박현민 외,위키북스,2026-01-02,컴퓨터/IT
125,S000215551627,유대인의 상술,16920,후지다 덴,지니의서재,2025-02-14,자기계발
126,S000221336416,"NO CAT, NO LIFE! [싱글 1집]",20000,GOSEGU(고세구),케이티지니뮤직,2026-09-28,가요
127,S000221281510,운이 좋은 사람은 이렇게 합니다,17820,박성준,페이지2북스,2026-09-23,자기계발
128,S000000597589,생각에 관한 생각,26820,대니얼 카너먼,김영사,2018-03-30,경제/경영
129,S000061350533,당신은 사건 현장에 있습니다,25200,모데스토 가르시아,중앙북스,2022-05-30,취미/실용/스포츠
130,S000220240819,압록강은 흐른다,12600,이미륵,민음사,2026-06-12,소설
131,S000220363675,챗GPT · 제미나이 · 클로드까지 모두를 위한 AI,19800,지현이(디지털거북이),시프트,2026-07-30,컴퓨터/IT
132,S000218858335,악수도 없이 헤어졌다,13500,피천득,민음사,2025-12-12,소설
133,S000001913217,돈의 속성(400쇄 리커버에디션),16020,김승호,스노우폭스북스,2020-06-15,경제/경영
134,S000220665243,칼 융의 내면수업,16200,강이안,필로틱,2026-08-18,인문
135,S000216933473,ETS 토익 단기공략 750+(LC+RC),17550,ETS,YBM,2025-07-01,외국어
136,S000000620175,달과 6펜스,9000,서머싯 몸,민음사,2000-06-20,소설
137,S000216111714,혼모노,16200,성해나,창비,2025-03-28,소설
138,S000220930689,브레인악셀,19800,이진우,바른뇌연구소,2026-09-02,자기계발
139,S000221361394,돈의 흐름을 읽는 최소한의 경제 공부,16920,김선율(김멘사),리미트리스,2026-09-18,경제/경영
140,S000221046298,흔한남매 과학 탐험대 18: 물질의 특성,15120,흔한남매,주니어김영사,2026-08-27,어린이(초등)
141,S000219654405,다정한 사람이 이긴다(스페셜 양장 리커버판),17100,이해인,필름(Feelm),2026-04-15,시/에세이
142,S000220700678,임신 출산 육아 대백과(2026-2027),17550,삼성출판사 편집부,삼성출판사,2026-07-30,가정/육아
143,S000220108528,교보문고 리딩백S,2900,교보문고,교보문고,2026-06-01,교보문고 굿즈
144,S000221267516,2026 해커스 투자자산운용사 실전동형모의고사 10회분+리얼 기출족보 3종,40500,해커스 금융아카데미,해커스금융,2026-09-17,취업/수험서
145,S000221281513,가브리엘의 왕초보 영어회화,17010,Thomas Gabrielle Allanta,상상스퀘어,2026-09-16,외국어
146,S000219868491,2027 해커스경찰 신동욱 경찰헌법 기출문제집,55800,신동욱,해커스경찰,2026-05-08,취업/수험서
147,E000012435877,2026 해커스 GSAT 삼성직무적성검사 통합 기본서 최신기출유형+실전모의고사 (수리/추리),22600,해커스 취업교육연구소,해커스잡,2026-01-09,미분류
148,S000221248275,은둔,22500,조현,불광출판사,2026-09-18,종교
149,S000220996772,지속의 힘,16920,이노우에 히로유키,지니의서재,2026-08-24,자기계발
150,S000219563316,JLPT(일본어능력시험) 한권으로 끝내기 N3,25200,이치우 외,다락원,2026-04-06,외국어
151,S000221248260,2027 황철곤 행정학 패스프레소,19800,황철곤,사피엔스넷,2026-09-20,취업/수험서
152,S000221029720,2027 해커스공무원 비비안 올인원 영문법 핵심이론+기출문제(9급 공무원),15300,비비안,해커스공무원,2026-08-31,취업/수험서
153,S000220693861,"살 것인가, 팔 것인가, 버틸 것인가 Buy Sell Hold",25200,목대균,서삼독,2026-08-27,경제/경영
154,S000219853841,2027 해커스공무원 신민숙 쉬운국어 한 권으로 끝,19800,신민숙,해커스공무원,2026-05-06,취업/수험서
155,E000012806501,2026 에듀윌 SKCT 통합 기본서,23400,에듀윌 취업연구소,에듀윌,2026-03-20,미분류
156,S000219181415,구원에게,16200,정영욱,부크럼,2026-02-05,시/에세이
157,S000217919065,손자병법,11700,손자,현대지성,2025-10-14,인문
158,E000012714294,2026 해커스 SKCT SK그룹 종합역량검사 통합 기본서 최신기출유형+실전모의고사,23500,해커스 SKCT 취업교육연구소,해커스잡,2026-03-17,미분류
159,S000219570466,경찰 헌법도약,33300,이국령,윌비스,2026-04-02,취업/수험서
160,S000214453032,어른의 행복은 조용하다,16020,태수,페이지2북스,2024-11-04,시/에세이
161,S000001461135,용의자 X의 헌신,16920,히가시노 게이고,재인,2017-08-30,소설
162,S000202596964,여덟 단어,15300,박웅현,인티앤,2023-06-15,인문
163,S000000620415,노인과 바다,7200,어니스트 헤밍웨이,민음사,2012-01-02,소설
164,S000221062041,데뷔 못 하면 죽는 병 걸림 5부 굿즈박스 세트(한정판),129600,백덕수,위시북스,2026-12-08,소설
165,S000221173929,카구라바치 11: 영웅,5850,Takeru Hokazono,대원씨아이,2026-09-29,만화
166,S000221328400,타키 포오 코믹 어드벤처 12,15120,캐릭온TV,대원키즈,2026-09-17,어린이(초등)
167,S000221191898,소설 보다: 가을 2026,4950,박우연 외,문학과지성사,2026-09-10,소설
168,S000220638767,숨결이 바람 될 때(10주년 에디션),17820,폴 칼라니티,흐름출판,2026-08-19,시/에세이
169,S000215599577,사랑에 대하여,13500,안톤 체호프,민음사,2025-01-20,소설
170,S000220734695,"번아웃 직전, 맹자를 만났다",17820,판덩,이든서재,2026-08-20,인문
171,S000220221375,2027 해커스공무원 3분의 1로 줄여 쓴 김대현 행정법총론 기본서,28800,김대현,해커스공무원,2026-06-17,취업/수험서
172,S000213326678,행복의 기원,19800,서은국,21세기북스,2024-05-22,인문
173,S000220054030,말투만 바꿨을 뿐인데(10만 부 기념 개정판),17820,김민성,모티브,2026-06-03,자기계발
174,S000219182450,인생을 위한 최소한의 생각,17820,신영준 외,상상스퀘어,2026-02-25,인문
175,S000001687227,왜 일하는가,16200,이나모리 가즈오,다산북스,2021-04-12,자기계발
176,S000217178232,독끝 NCS 기본서: 독학으로 끝내는 공기업 NCS 통합기본서 (PSAT형+모듈형+피듈형),26100,길잡이 연구소,애드투,2026-02-02,취업/수험서
177,S000219055042,명상록,16200,마르쿠스 아우렐리우스,오아시스,2026-01-30,인문
178,S000000610612,소년이 온다,13500,한강,창비,2014-05-19,소설
179,S000220119843,부의 갈림길,24300,오건영,포레스트북스,2026-06-10,경제/경영
180,S000221326911,향기로운 꽃은 늠름하게 핀다 47도도부현 포스트카드북,18000,Saka Mikami,대원씨아이,2026-09-30,만화
181,S000220215920,시간의 감촉,16920,은희경,문학동네,2026-06-22,소설
182,S000220293112,사고외주,13500,홍진기,어크로스,2026-06-22,인문
183,S000218438100,괴테는 모든 것을 말했다(여름 에디션),15300,스즈키 유이,리프,2025-11-18,소설
184,S000218847135,만능문장으로 끝내는 토익스피킹 시계토끼 올인원 기본서 7일 완성,19980,시계토끼제니쌤(차지영),시계토끼,2025-12-10,외국어
185,S000220852643,노무현 평전,44550,윤태영,위즈덤하우스,2026-08-26,정치/사회
186,S000220995922,사춘기 아이와 대화하는 법은 따로 있습니다,16650,홍순범,포레스트북스,2026-08-26,가정/육아
187,S000219568490,"AI, 신의 탄생 인간의 종말",19800,엘리에저 유드코스키 외,상상스퀘어,2026-04-08,경제/경영
188,S000001925800,물고기는 존재하지 않는다,15300,룰루 밀러,곰출판,2021-12-17,과학
189,S000221107087,김진순의 인생 레시피 1,21600,김진순,길벗,2026-09-09,요리
190,S000220457898,노화는 어디까지 늦출 수 있는가,17100,요시모리 다모쓰,이너북,2026-07-15,과학
191,S000216828744,서아쌤의 토익 비밀과외 START,15120,최서아 외,시원스쿨닷컴,2025-06-17,외국어
192,S000220939598,세상을 움직이는 아이들은 무엇이 다른가,16920,임지은,다빈치페이지,2026-09-10,가정/육아
193,S000220623768,태양 아래 올리브,17820,김초엽,자이언트북스,2026-08-03,소설
194,S000220774533,2027 선재국어 신유형 매일 국어 1,16200,이선재,수비니겨,2026-08-14,취업/수험서
195,S000001128568,소유냐 존재냐,13500,에리히 프롬,까치,2026-05-20,인문
196,S000001020289,해커스 일본어 첫걸음: 기초20일 독학 완성!,12510,해커스 일본어연구소,해커스어학연구소,2024-05-07,외국어
197,S000001807614,잘했고 잘하고 있고 잘될 것이다(50만부 기념),16200,정영욱,부크럼,2021-05-14,시/에세이
198,S000220587500,나는 왜 네 말이 힘들까,19800,박재연,한빛라이프,2026-07-25,인문
199,S000001632473,나는 소망한다 내게 금지된 것을,13500,양귀자,쓰다,2019-04-20,소설
200,S000000620480,시지프 신화,10800,알베르 카뮈,민음사,2016-06-17,소설
201,S000221265030,쥬디 할머니(한지 에디션),18000,박완서,문학동네,2026-09-14,소설
202,S000221075378,2027 선재국어 예상 기출서,20700,이선재 외,수비니겨,2026-09-07,취업/수험서
203,S000220922310,소원 송편,14400,김지현,길벗어린이,2026-08-25,유아(0~7세)
204,S000001020313,한 권으로 끝내는 해커스 토익 700+(LC+RC+VOCA),17820,해커스 어학연구소,해커스어학연구소,2025-01-20,외국어
205,S000221267706,흑무경담 3,7200,토가와 요난,소미미디어,2026-09-16,만화
206,S000221189893,재이,16200,조남주,문학동네,2026-09-09,소설
207,S000220455463,2027 해커스공무원 기출 보카 3000+ 1~2권+영어단어 미니암기장 3종 세트,23310,해커스 공무원시험연구소,해커스공무원,2026-07-06,취업/수험서
208,S000219382074,딱 1년만 미쳐라,17820,리치파카(강연주),모티브,2026-03-08,자기계발
209,S000221242474,모두가 그렇게 흔들리며 살아갑니다,16020,때지타로,모티브,2026-09-15,인문
210,S000218474573,사람은 무엇으로 사는가,13500,레프 톨스토이,민음사,2025-10-28,소설
211,E000013518299,한국사 이상현상 연구원(일반판),17600,최인서,다이브,2026-08-31,미분류
212,S000221173495,정승제의 수학 대모험 4,14400,설민석 외,단꿈아이,2026-09-07,어린이(초등)
213,S000217089705,자몽살구클럽,10800,한로로,어센틱,2025-07-25,소설
214,S000202678286,최소한의 한국사,17820,최태성,프런트페이지,2023-06-21,역사/문화
215,S000221334752,내 기분까지 내 책임이라니,19800,오원,스테이션,2026-09-24,시/에세이
216,S000220363031,2027 해커스공무원 신민숙 쉬운국어 독해 강화 200제,17100,신민숙,해커스공무원,2026-07-03,취업/수험서
217,S000220297360,악마는 열심히 산다,13500,김화진,민음사,2026-06-19,소설
218,S000221336763,2027 해커스소방 심규식 응급처치학개론 단원별 기출문제집,35100,심규식,해커스소방,2026-09-18,취업/수험서
219,S000221063299,2027 공단기 심슨 문법 300제,14400,심우철,에스티유니타스,2026-09-02,취업/수험서
220,S000220663044,2027 공단기 소방단기 써니 행정법총론 핵심집약,30600,박준철,에스티유니타스,2026-08-11,취업/수험서
221,S000216900602,박곰희 연금 부자 수업,18900,박곰희,인플루엔셜,2025-06-25,경제/경영
222,S000201621499,구의 증명(리커버판),10800,최진영,은행나무,2023-04-26,소설
223,S000221327594,쫄쫄이 패밀리 1: 공포의 데스록블 쇼,15120,쫄쫄이 패밀리,샌박스토리,2026-09-16,어린이(초등)
224,S000220781252,"흔들리는 나에게, 고전이 말했다",17010,오평선,이너북,2026-09-15,자기계발
225,S000221108987,2027 해커스경찰 킹재규 경찰학 24개년 총알기출 OX(오엑스),41400,김재규,해커스경찰,2026-09-03,취업/수험서
226,S000001020227,그래머 게이트웨이 베이직: 초보를 위한 기초 영문법(Grammar Gateway Basic),13410,David Cho,해커스어학연구소,2025-09-08,외국어
227,S000000620184,호밀밭의 파수꾼,10800,제롬 데이비드 샐린저,민음사,2023-01-17,소설
228,S000221151681,2027 해커스공무원 3분의 1로 줄여 쓴 김대현 행정법총론 핵심요약노트 (핵요),27000,김대현,해커스공무원,2026-09-04,취업/수험서
229,S000220871171,2027 황철곤 행정학 기출문제집 세트,43200,황철곤,모두공북스,2026-08-25,취업/수험서
230,S000220634285,부처의 감정 수업,18000,자현,오아시스,2026-08-03,자기계발
231,S000001808667,아가미(애니메이션 더블 커버),15120,구병모,위즈덤하우스,2018-03-30,소설
232,S000001068777,달리기를 말할 때 내가 하고 싶은 이야기,13050,무라카미 하루키,문학사상,2016-12-15,시/에세이
233,S000221231084,사고의 품격,25200,투리 문테,21세기북스,2026-09-09,인문
234,S000000722174,모리와 함께한 화요일,13500,미치 앨봄,살림,2017-06-16,시/에세이
235,S000220272478,머도쿠,20700,마누엘 가란드,중앙북스,2026-06-18,취미/실용/스포츠
236,E000003091058,싯다르타,5600,헤르만 헤세 외,민음사,2014-01-10,미분류
237,S000215570341,해커스 JLPT(일본어능력시험) N3 한권합격,24300,해커스 JLPT연구소,해커스어학연구소,2025-01-24,외국어
238,S000213310247,초역 부처의 말,16020,코이케 류노스케,포레스트북스,2024-05-30,인문
239,S000220364011,주와 연,15750,청예,래빗홀,2026-06-24,소설
240,S000220226890,ETS 토익 기출보카(VOCA),13500,ETS,YBM,2026-06-17,외국어
241,S000219451452,JLPT(일본어능력시험) 한권으로 끝내기 N2,25200,이치우 외,다락원,2026-03-26,외국어
242,S000218090666,2026 한 권으로 끝내는 시나공 컴활 2급 필기+실기,24300,길벗알앤디,길벗,2025-10-15,컴퓨터/IT
243,S000216730154,너를 아끼며 살아라,16650,나태주,더블북,2025-06-12,시/에세이
244,S000001122985,악의,15120,히가시노 게이고,현대문학,2019-07-25,소설
245,S000219244028,세종의 나라 1,19800,김진명,이타북스,2026-02-24,소설
246,S000000597165,사피엔스,24120,유발 하라리,김영사,2023-04-01,인문
247,S000000569916,초조한 마음,15300,슈테판 츠바이크,문학과지성사,2013-04-12,소설
248,S000221248745,부의 영혼,23400,대니얼 크로스비,알레,2026-09-30,경제/경영
249,S000221265400,2027 단계별기출 핵심지문 박철한 경찰헌법 OX 시즌5,33300,박철한,법률저널,2026-09-21,취업/수험서
250,S000220716802,소곤소곤  심리학 토크,16920,황양밍,더페이지,2026-08-20,자기계발
251,S000220637951,기억의 무늬,17820,백희성,북로망스,2026-08-05,소설
252,S000000954960,사랑해 사랑해 사랑해(출간 15주년 기념판),11520,버나뎃 로제티 슈스탁,보물창고,2021-12-30,유아(0~7세)
253,S000221178553,2027 공단기 심우철 하프 모의고사 Season 2: 80+,12600,심우철,에스티유니타스,2026-09-09,취업/수험서
254,S000221108524,2027 해커스경찰 킹재규 경찰학 핵심 Subnote,40500,김재규,해커스경찰,2026-09-03,취업/수험서
255,S000220510098,휴대폰과 독화살,18000,장준호,시월,2026-07-30,여행
256,S000220516227,2027 공단기 써니 행정법총론 기본서,39600,박준철,에스티유니타스,2026-07-17,취업/수험서
257,S000000781065,홍학의 자리,12600,정해연,엘릭시르,2021-07-26,소설
258,S000001752581,꽃을 보듯 너를 본다(100만 부 기념 에디션)(리커버:K),11700,나태주,지혜,2020-11-30,시/에세이
259,S000214920227,The Scent of Page : 샤쉐,17000,교보문고,교보문고,2024-12-06,책향
260,S000221327947,모든 것을 걸지 않은 자에게 세상은 아무것도 내어주지 않는다,16020,니콜로 마키아밸리,클래시카,2026-09-21,인문
261,S000220765671,오디세이아,15750,호메로스,비룡소,2026-08-05,어린이(초등)
